nbr_County,Pop22,Recip22,Pop19,Recip19
Adair,7494,522,7152,551
Adams,3611,292,3602,303
Allamakee,13960,881,13687,1046
Appanoose,12094,1386,12426,1699
Audubon,5598,409,5496,449
Benton,25711,1590,25645,1639
Black Hawk,130274,14104,131228,16620
Boone,26609,1365,26234,1763
Bremer,25259,956,25062,1144
Buchanan,20714,1129,21175,1378
Buena Vista,20600,1763,19620,1692
Butler,14269,853,14439,981
Calhoun,9725,659,9668,698
Carroll,20567,1232,20165,1527
Cass,13104,1313,12836,1496
Cedar,18399,815,18627,992
Cerro Gordo,42409,3879,42450,4252
Cherokee,11491,688,11235,839
Chickasaw,11716,486,11933,688
Clarke,9692,807,9395,989
Clay,16475,1230,16016,1421
Clayton,17027,876,17549,968
Clinton,46344,5742,46429,6598
Crawford,16123,1153,16820,1526
Dallas,108016,3230,93453,2979
Davis,9130,453,9000,574
Decatur,7683,763,7870,841
Delaware,17568,834,17011,1002
Des Moines,38293,5311,38967,6417
Dickinson,18028,912,17258,981
Dubuque,98677,7450,97311,9011
Emmet,9176,667,9208,859
Fayette,19294,1811,19650,2336
Floyd,15337,1434,15642,1685
Franklin,9916,693,10070,781
Fremont,6464,602,6960,787
Greene,8741,882,8888,899
Grundy,12356,594,12232,589
Guthrie,10647,726,10689,807
Hamilton,14820,883,14773,917
Hancock,10685,606,10630,598
Hardin,16567,1295,16846,1482
Harrison,14658,1062,14049,1197
Henry,20196,1868,19954,2176
Howard,9533,518,9158,545
Humboldt,9572,578,9558,712
Ida,6888,472,6860,558
Iowa,16475,695,16184,838
Jackson,19324,1497,19439,1751
Jasper,37938,3021,37185,3657
Jefferson,15698,1481,18295,1772
Johnson,156420,9560,151140,9837
Jones,20848,1196,20681,1494
Keokuk,9904,829,10246,1091
Kossuth,14475,893,14813,940
Lee,32840,4374,33657,5097
Linn,229033,21253,226706,23794
Louisa,10677,752,11035,859
Lucas,8689,896,8600,929
Lyon,12179,421,11755,434
Madison,17036,654,16338,875
Mahaska,21946,1953,22095,2201
Marion,33642,1746,33253,2225
Marshall,39879,3912,39369,4464
Mills,14553,924,15109,1154
Mitchell,10532,473,10586,579
Monona,8486,781,8615,972
Monroe,7550,528,7707,693
Montgomery,10205,1202,9917,1461
Muscatine,42377,4507,42664,5223
Obrien,14060,746,13753,828
Osceola,6036,327,5958,394
Page,15143,1359,15107,1720
Palo Alto,8764,541,8886,622
Plymouth,25681,1180,25177,1122
Pocahontas,7053,596,6619,576
Polk,501089,49559,490161,58507
Pottawattamie,93173,10697,93206,12735
Poweshiek,18467,1092,18504,1147
Ringgold,4670,400,4894,416
Sac,9673,514,9721,649
Scott,173924,20404,172943,23740
Shelby,11645,754,11454,853
Sioux,36050,1047,34855,1100
Story,99673,4088,97117,4113
Tama,16903,1320,16854,1395
Taylor,5858,493,6121,590
Union,11887,1352,12241,1470
Van Buren,7256,590,7044,673
Wapello,35043,4849,34969,5438
Warren,54327,2042,51466,2551
Washington,22571,1369,21965,1691
Wayne,6467,521,6441,602
Webster,36626,4238,35904,4887
Winnebago,10617,635,10354,757
Winneshiek,19974,669,19991,837
Woodbury,105671,11842,103107,13728
Worth,7319,483,7381,529
Wright,12681,846,12562,1221
